centroide_lat,centroide_lon,population,con_fibra
-35.0738937822194,-58.2904583823958,27620.5,False
-34.4115727076684,-58.689927948636,27620.5,False
-34.3613050945309,-58.686560990698,27620.5,False
-34.487529336749,-58.615576288829,27620.5,False
-34.5013115714354,-58.6266976169668,27620.5,False
-34.4635807779742,-58.6613515343482,27620.5,True
-34.454922848233,-58.6341494353431,43287.0,False
-34.4548097726973,-58.6133409368885,27620.5,False
-34.458452696066,-58.6830425981974,27620.5,False
-34.4104604155702,-58.6019963050247,27620.5,False
-34.4248130997973,-58.5755281971763,64867.0,False
-38.8539586602418,-60.0728340167456,27620.5,False
-38.8585571626837,-60.0861874066163,27620.5,False
-34.6079360429362,-58.5639388527613,95785.0,True
-34.5590894223482,-58.6210861683629,27620.5,False
-34.6020571077223,-58.5918129323397,27620.5,False
-34.6379153169712,-58.5393433409443,73155.0,False
-34.5554270234588,-58.6128107904756,27620.5,False
-34.6171682617636,-58.5359477552874,27620.5,False
-34.5686752520983,-58.6021422654243,27620.5,False
-34.5837676634747,-58.5967036958912,27620.5,False
-34.5659942534011,-58.6185962577357,27620.5,False
-34.5849488101072,-58.6116379762528,27620.5,False
-34.5709732076088,-58.6198034273086,81465.0,False
-34.6001485700585,-58.5276332441297,27620.5,False
-34.6030070341394,-58.5408249597318,27620.5,False
-34.5868156329333,-58.5738062079452,27620.5,False
-34.6084004658573,-58.5309147566475,27620.5,False
-34.5282051328805,-58.5346134493231,27620.5,False
-34.5320107502339,-58.4928251811481,48158.0,False
-34.5385072942887,-58.5154588836308,27620.5,False
-34.4986954031124,-58.4886021924852,27620.5,False
-34.5298047274022,-58.525182801606,35844.0,False
-34.5093203722724,-58.4813961688058,27620.5,False
-26.6937570109379,-66.0662144302352,27620.5,True
-34.5257404584867,-58.4741498273926,27620.5,False
-34.5265053176719,-58.5454675353282,35307.0,False
-34.5513042797618,-58.5066267194854,27620.5,False
-37.3368119149466,-57.0295357510231,27620.5,True
-37.3265635278993,-57.0225364322731,27620.5,False
-34.138026855185,-59.0054028498658,27620.5,False
-34.0989165196293,-59.0296629320907,109443.0,False
-27.5057204577168,-66.022880509377,27620.5,False
-27.494568045547,-66.022448759223,27620.5,False
-27.468098140927,-66.0103165375161,27620.5,False
-27.4279333673832,-65.9950974433152,27620.5,False
-27.4531060000311,-66.0045034471386,27620.5,False
-27.4441549431067,-66.0022126478121,27620.5,False
-28.4591443322475,-65.9488234034564,27620.5,False
-28.4829836288114,-65.950615432131,27620.5,False
-28.4220705786785,-65.7117637445973,27620.5,False
-28.3568429260322,-65.7073114373778,27620.5,False
-28.4249926112323,-65.6967351961,27620.5,False
-28.3721877692373,-65.7048797047004,27620.5,False
-28.4257566977239,-65.7083811850021,6729.0,True
-28.4257566977239,-65.7083811850021,1835.0,True
-28.3904063679704,-65.701711610127,2064.0,False
-26.7245601354379,-66.0760975824739,27620.5,False
-26.7145521014582,-66.068288107357,27620.5,False
-26.7507779940066,-66.0787233659467,27620.5,False
-26.7709564163444,-66.0822731499912,27620.5,True
-26.7974352576604,-66.0851845538927,27620.5,False
-26.6719152173714,-66.0607916411274,27620.5,False
-26.8166192033332,-66.0794962394573,27620.5,False
-26.8248891133172,-66.0850814214729,27620.5,False
-26.8092749554447,-66.0746154327429,27620.5,False
-26.788515790059,-66.0659271375354,27620.5,False
-26.8013292872309,-66.0683327599131,27620.5,False
-28.1754144915285,-67.488040108495,27620.5,True
-28.1293308829888,-67.4997563754494,27620.5,False
-27.689455422133,-67.6191480212882,27620.5,False
-27.684459770281,-67.6194392541928,27620.5,False
-27.6525269917378,-67.6147649623261,27620.5,False
-28.4601111014785,-65.7120151705902,27620.5,False
-28.4372399562612,-65.7207691590717,27620.5,False
-28.4721164426195,-65.7227588143713,27620.5,False
-29.178242612745,-67.4744219919575,157532.0,True
-29.178242612745,-67.4744219919575,9187.0,True
-28.4596664737849,-65.7258927919472,43595.0,True
-28.4596664737849,-65.7258927919472,4569.0,True
-28.4425610943667,-65.710838370244,117201.0,True
-28.4425610943667,-65.710838370244,15818.0,True
-28.4749648388181,-65.737589732477,27620.5,False
-28.4611661862365,-65.7328190343883,34005.0,False
-31.8563597027019,-64.379558101433,27620.5,True
-31.8634283575435,-64.3749971056873,27620.5,False
-32.0688257152431,-64.5743119195038,27620.5,False
-32.0699095313468,-64.5390917673383,27620.5,False
-32.0989506129028,-64.5371421674543,27620.5,False
-31.9103714592552,-64.5377457547189,27620.5,False
-31.9142481412202,-64.5259122990344,27620.5,False
-31.904934350576,-64.5613666819537,27620.5,False
-31.3685851015486,-64.0605223114939,27620.5,False
-31.4150461523809,-64.1791140755104,1505250.0,False
-31.3365282658298,-64.3371664162772,27620.5,False
-31.3503560189278,-64.3379432970611,45689.0,False
-31.351083671148,-64.3653214047373,27620.5,False
-31.1061995831956,-64.292290098635,27620.5,False
-31.13788084948,-64.2927724360505,27620.5,False
-31.3077339671772,-64.1754423747112,27620.5,False
-31.3004990166318,-64.1769624238092,27620.5,True
-31.307806181231,-64.1781444460259,27620.5,False
-31.3074897144828,-64.182727841378,27620.5,False
-31.2957499892587,-64.1773285131189,27620.5,False
-31.3058159712823,-64.1791873163252,27620.5,False
-31.2580420120475,-64.1662430936329,27620.5,False
-31.2764654286199,-64.1609048856654,27620.5,True
-31.3143488708372,-64.4615321569732,27620.5,False
-31.3239065791151,-64.4519728152522,27620.5,False
-31.9602929716694,-65.065810087943,27620.5,False
-31.9578095999862,-65.0744379982192,27620.5,False
-31.9451679685925,-65.064491322343,27620.5,False
-31.9419650315312,-65.0251247511244,27620.5,False
-31.9503622494173,-65.0539943338809,27620.5,False
-31.4416722128598,-64.3180023506966,27620.5,False
-31.4402198498087,-64.3146100635254,27620.5,False
-31.526484535565,-64.2814214559366,27620.5,False
-31.7981315605128,-64.5163862272189,27620.5,False
-45.8396707826001,-67.4738955704894,27620.5,False
-31.7832436719837,-64.5305212730134,27620.5,False
-31.6184320255651,-64.3912763902413,27620.5,False
-31.6213166852746,-64.3820519076151,27620.5,False
-31.5844899986475,-64.356257424977,27620.5,False
-31.5921586885257,-64.3524357073455,27620.5,False
-45.7837934066429,-67.4960737067253,27620.5,False
-45.7488001218466,-67.378767782759,27620.5,False
-45.7751581811535,-67.3888489022003,27620.5,False
-45.8163897245992,-67.4764194977592,27620.5,False
-45.7966537301578,-67.4968830233563,27620.5,False
-45.7942341647363,-67.5049449984858,27620.5,False
-45.8222376650658,-67.4920745853454,27620.5,False
-45.8283932353205,-67.5426438874095,27620.5,False
-45.8184020010556,-67.5256775019651,27620.5,False
-45.791898173623,-67.470799839968,27620.5,False
-45.7957361705675,-67.4705730669736,27620.5,False
-45.7931574348705,-67.4078416019458,27620.5,False
-45.8107675422503,-67.4746310006426,27620.5,False
-45.8415111049113,-67.5064244994082,27620.5,False
-45.8193716330644,-67.5026252890136,27620.5,False
-45.8264075098405,-67.4632431224591,27620.5,False
-45.8364861102947,-67.5024540258022,27620.5,False
-45.8625644045819,-67.494000786158,201854.0,True
-45.8142153386233,-67.4559985151347,27620.5,False
-45.7892312978457,-67.4312389596103,27620.5,False
-45.7694264717128,-67.4358568293595,27620.5,False
-32.1795681044772,-58.213321598791,27620.5,False
-32.1819731193292,-58.1946826986345,27620.5,False
-32.2084950261875,-58.2186724884732,2064.0,False
-31.4346390911775,-58.0719424917441,27620.5,False
-31.3982917145809,-58.0697697974359,27620.5,False
-31.4111605940935,-58.0792668875232,27620.5,False
-31.3974508914818,-58.0172034297914,180325.0,True
-31.3218570608507,-58.0144861434651,27620.5,False
-32.0671282176756,-60.6426461219973,21562.0,True
-32.0537739076169,-60.6124866224263,27620.5,False
-32.0558292988722,-60.4468862677802,27620.5,False
-32.0739285541973,-60.4610408161734,27620.5,False
-31.582388959984,-60.0736871986697,27620.5,True
-31.5870037147946,-60.0601610854207,27620.5,False
-29.1509299523349,-67.4824676820837,27620.5,True
-25.4090620882755,-59.5714188388511,27620.5,False
-25.3486802585053,-59.6122308000124,27620.5,False
-24.5850214756868,-64.9227633011974,27620.5,False
-24.5874693995008,-64.9235280448918,27620.5,False
-24.5824618916524,-64.9200507886571,27620.5,False
-24.1169028293777,-65.4033777204213,27620.5,False
-24.1468540136486,-65.3939437454147,27620.5,False
-24.1223616451894,-65.4015758458617,27620.5,True
-23.8132315352072,-64.7931971265748,48518.0,False
-23.8132315352072,-64.7931971265748,27620.5,False
-23.8346075028739,-64.7896499047357,27620.5,False
-24.259944722703,-65.2061799541843,65541.0,False
-24.2299800132012,-65.2346020968813,27620.5,False
-23.3937973544612,-65.3452136931126,27620.5,False
-23.3878061932966,-65.3446878040781,27620.5,False
-22.1346028583951,-65.4681564031582,2064.0,False
-22.1317190074175,-65.4613403371105,27620.5,True
-28.5435379588255,-66.7911093070646,27620.5,False
-28.5598321349466,-66.8061775305027,27620.5,True
-28.5578576011964,-66.7923388597247,6729.0,True
-28.5578576011964,-66.7923388597247,1835.0,True
-29.5252228612318,-68.5593095064451,27620.5,True
-29.561280919834,-68.5330542580943,6374.0,False
-29.3058404948469,-68.2451399795853,27620.5,False
-29.3165749850402,-68.2273993332811,12263.0,False
-29.3165749850402,-68.2273993332811,719.0,False
-29.1990741866199,-67.4621457728199,27620.5,False
-29.162385830377,-67.4993074296546,58798.0,True
-29.1595993877494,-67.4806003282644,27620.5,False
-28.5835065474117,-67.1832709934048,27620.5,False
-28.50047509401,-67.1351452318637,27620.5,False
-28.3515336711124,-67.0722307328254,27620.5,False
-28.4417989310154,-67.119230714955,27620.5,False
-28.4256646545494,-67.1105646770999,27620.5,False
-28.3759375312544,-67.0706516745597,27620.5,False
-28.4806277192518,-67.1284401544396,27620.5,False
-28.5399692310612,-67.1569046720953,27620.5,False
-28.578972848381,-67.1973939987239,27620.5,False
-28.321596561294,-67.053908677707,27620.5,True
-28.4573410968679,-67.121585483998,27620.5,False
-28.4083143830216,-67.0919352471477,27620.5,False
-32.8876231328051,-68.8410316296807,27620.5,False
-32.8916260670654,-68.8409855152698,27620.5,False
-32.8883061527,-68.8320926627431,27620.5,False
-32.8694721188293,-68.8382664690677,27620.5,False
-32.8879718887663,-68.8538156485345,27620.5,False
-32.8788927457713,-68.8532574679282,27620.5,False
-32.877642821815,-68.8709094556066,27620.5,False
-32.8841390986768,-68.8734502560761,27620.5,False
-32.8707883642031,-68.8917517972674,27620.5,False
-32.8904351397539,-68.9112247685214,27620.5,False
-32.8673928037756,-68.8686395022336,27620.5,False
-32.9296479324612,-68.8449315082795,27620.5,False
-32.9451939945605,-68.8231022796565,27620.5,False
-32.9442974383425,-68.8668893529037,27620.5,False
-32.9317347848468,-68.8326622049277,27620.5,False
