ESTADO;NOMBRE NODO;ACRONIMO;PROVINCIA;COORDENADAS
ENSERVICIO;ALTO RIO SENGUER;RARUARS01;CHUBUT;[-70.812069,-45.036475]
ENSERVICIO;YACUY;RARAYCY01;SALTA;[-63.76916944,-22.37033056]
ENSERVICIO;URUNDEL;RARAURU01;SALTA;[-64.39938333,-23.55672222]
ENSERVICIO;TARTAGAL;RARATTG01;SALTA;[-63.79389722,-22.52795556]
ENSERVICIO;TRANQUITAS;RARATRQ01;SALTA;[-63.77715833,-22.40476111]
ENSERVICIO;TOBANTIRENDA;RARATBN01;SALTA;[-63.71164167,-22.15371944]
ENSERVICIO;PROFESOR SALVADOR MAZZA;RARASMZ01;SALTA;[-63.68585833,-22.05193889]
ENSERVICIO;PIQUIRENDA;RARAPQR01;SALTA;[-63.75290833,-22.32470833]
ENSERVICIO;PLUMA DE PATO;RARAPPA01;SALTA;[-63.09787778,-23.37218333]
ENSERVICIO;PADRE LOZANO;RARAPLZ01;SALTA;[-63.84709444,-23.21823333]
ENSERVICIO;PICHANAL;RARAPCH01;SALTA;[-64.22527778,-23.32434722]
ENSERVICIO;SAN RAMON DE LA NUEVA ORAN;RARAORN01;SALTA;[-64.33233333,-23.15741389]
ENSERVICIO;MISION CHAQUENA;RARAMSC01;SALTA;[-63.74334167,-23.25973333]
ENSERVICIO;HICKMAN;RARAHCK01;SALTA;[-63.56797222,-23.21189722]
ENSERVICIO;GENERAL ENRIQUE MOSCONI;RARAGEM01;SALTA;[-63.80401944,-22.59518056]
ENSERVICIO;GENERAL BALLIVIAN;RARAGBL01;SALTA;[-63.85884722,-22.9361]
ENSERVICIO;EMBARCACION;RARAEBC01;SALTA;[-64.09765833,-23.20344167]
ENSERVICIO;DRAGONES;RARADRG01;SALTA;[-63.34313333,-23.24960833]
ENSERVICIO;CAPIAZUTI;RARACZT01;SALTA;[-63.71677778,-22.20186944]
ENSERVICIO;CAMPAMENTO VESPUCIO;RARACVP01;SALTA;[-63.85387778,-22.58495278]
ENSERVICIO;COLONIA SANTA ROSA;RARACSR01;SALTA;[-64.41942222,-23.39358611]
ENSERVICIO;CAMPICHUELO;RARACMH01;SALTA;[-63.99715,-23.10823056]
ENSERVICIO;CORONEL CORNEJO;RARACCN01;SALTA;[-63.81906667,-22.73898889]
ENSERVICIO;CARBONCITO;RARACBC01;SALTA;[-63.76795,-23.23348611]
ENSERVICIO;AGUARAY;RARAAGY01;SALTA;[-63.72730833,-22.23922778]
ENSERVICIO;AGUAS BLANCAS;RARAAGB01;SALTA;[-64.35390833,-22.73420833]
ENSERVICIO;VILLA SAN ISIDRO;RARRVSI01;RIO NEGRO;[-68.17173889,-38.70655]
ENSERVICIO;SARGENTO VIDAL;RARRSVD01;RIO NEGRO;[-68.15688333,-38.68420833]
ENSERVICIO;CATRIEL;RARRCTR01;RIO NEGRO;[-67.80406389,-37.88302222]
ENSERVICIO;BARDA DEL MEDIO;RARRBRM01;RIO NEGRO;[-68.16301389,-38.72412222]
ENSERVICIO;ZAPALA;RARQZPL01;NEUQUEN;[-70.066825,-38.89735]
ENSERVICIO;VILLA EL CHOCON;RARQVEC01;NEUQUEN;[-68.78943333,-39.259225]
ENSERVICIO;TAQUIMILAN;RARQTQM01;NEUQUEN;[-70.24132778,-37.51212778]
ENSERVICIO;SANTO TOMAS;RARQSNT01;NEUQUEN;[-70.101491,-39.823189]
ENSERVICIO;SENILLOSA;RARQSEN01;NEUQUEN;[-68.42318889,-39.01334722]
ENSERVICIO;PICUN LEUFU;RARQPLF01;NEUQUEN;[-69.29345833,-39.51803056]
ENSERVICIO;PIEDRA DEL AGUILA;RARQPDA01;NEUQUEN;[-70.07202778,-40.047225]
ENSERVICIO;NEUQUEN (MPLS);RARQNQN02;NEUQUEN;[-68.07830833,-38.9446139]
ENSERVICIO;NEUQUEN (DWDM);RARQNQN01;NEUQUEN;[-68.07830833,-38.9446139]
ENSERVICIO;MARIANO MORENO;RARQMMO01;NEUQUEN;[-70.036807,-38.7597059]
ENSERVICIO;LAS LAJAS;RARQLLS01;NEUQUEN;[-70.36410278,-38.51986389]
ENSERVICIO;LA BUITRERA;RARQLBU01;NEUQUEN;[-70.37182222,-38.55096389]
ENSERVICIO;EL CHOCON;RARQECC01;NEUQUEN;[-68.82387222,-39.26081389]
ENSERVICIO;CHORRIACA;RARQCRC01;NEUQUEN;[-70.071025,-37.93418889]
ENSERVICIO;CENTENARIO;RARQCNT01;NEUQUEN;[-68.12815833,-38.83250833]
ENSERVICIO;CHOS MALAL;RARQCML01;NEUQUEN;[-70.26348889,-37.36745556]
ENSERVICIO;LOS CATUTOS;RARQCAT01;NEUQUEN;[-70.19527778,-38.83666667]
ENSERVICIO;BARRANCAS;RARQBCS01;NEUQUEN;[-69.91165278,-36.82359167]
ENSERVICIO;BAJADA DEL AGRIO;RARQBAG01;NEUQUEN;[-70.02648611,-38.40473333]
ENSERVICIO;VISTA ALEGRE SUR (DESVINCULADO);RARQASR01;NEUQUEN;[-68.13476944,-38.771625]
ENSERVICIO;ARROYITO;RARQARY01;NEUQUEN;[-68.56725278,-39.07191944]
ENSERVICIO;VISTA ALEGRE NORTE (DESVINCULADO);RARQANR01;NEUQUEN;[-68.17393056,-38.73098056]
ENSERVICIO;VILLA SANTA ROSA;RARJVSR01;SAN JUAN;[-68.315,-31.74555556]
ENSERVICIO;VILLA EL TANGO;RARJVET01;SAN JUAN;[-68.24208333,-31.74805556]
ENSERVICIO;VILLA BORJAS;RARJVBJ01;SAN JUAN;[-68.328612,-31.81081]
ENSERVICIO;EL RINCON;RARJRIN01;SAN JUAN;[-68.31972222,-31.665]
ENSERVICIO;VILLA TULUMAYA;RARMVTU01;MENDOZA;[-68.58938056,-32.71966389]
