city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Loncopué,-38.0667,-70.6167,Argentina,AR,Neuquén,minor,6319,6319
Saujil,-28.1738,-66.2115,Argentina,AR,Catamarca,minor,6307,6307
Concepción,-28.3930,-57.8868,Argentina,AR,Corrientes,minor,6253,6253
Las Lajas,-38.5233,-70.3675,Argentina,AR,Neuquén,minor,6215,6215
San Cosme,-27.3703,-58.5126,Argentina,AR,Corrientes,minor,6206,6206
General Pinto,-34.7667,-61.8667,Argentina,AR,Buenos Aires,minor,6154,6154
Junín,-34.5886,-60.9495,Argentina,AR,Mendoza,minor,6084,6084
Makallé,-27.2000,-59.2833,Argentina,AR,Chaco,minor,6045,6045
Chepes,-31.3500,-66.6000,Argentina,AR,La Rioja,minor,6020,6020
Veinticinco de Mayo,-37.7710,-67.7173,Argentina,AR,La Pampa,minor,5953,5953
Aluminé,-39.2367,-70.9197,Argentina,AR,Neuquén,minor,5951,5951
Sastre,-31.7500,-61.8333,Argentina,AR,Santa Fe,minor,5876,5876
Colonia Elisa,-26.9167,-59.5167,Argentina,AR,Chaco,minor,5764,5764
Tilcara,-23.5768,-65.3934,Argentina,AR,Jujuy,minor,5691,5691
General Conesa,-40.1000,-64.4333,Argentina,AR,Río Negro,minor,5484,5484
Macachín,-37.1377,-63.6620,Argentina,AR,La Pampa,minor,5465,5465
Puerto Santa Cruz,-50.0192,-68.5231,Argentina,AR,Santa Cruz,minor,5390,5390
Gobernador Gregores,-48.7509,-70.2485,Argentina,AR,Santa Cruz,minor,5343,5343
Bandera,-28.9028,-62.2667,Argentina,AR,Santiago del Estero,minor,5335,5335
Nueva Esperanza,-26.2000,-64.2333,Argentina,AR,Santiago del Estero,minor,5145,5145
General Lavalle,-36.4167,-56.9500,Argentina,AR,Buenos Aires,minor,4870,4870
Gaimán,-43.2833,-65.4833,Argentina,AR,Chubut,minor,4730,4730
San Isidro,-28.4583,-65.7250,Argentina,AR,Catamarca,minor,4569,4569
La Caldera,-24.6000,-65.3833,Argentina,AR,Salta,minor,4525,4525
Victorica,-36.2167,-65.4340,Argentina,AR,La Pampa,minor,4458,4458
Santa Victoria,-22.2508,-64.9656,Argentina,AR,Salta,minor,4428,4428
San Blas de los Sauces,-28.4144,-67.0986,Argentina,AR,La Rioja,minor,4314,4314
Comandante Fontana,-25.3333,-59.6833,Argentina,AR,Formosa,minor,4277,4277
Picún Leufú,-39.5235,-69.2797,Argentina,AR,Neuquén,minor,4216,4216
Iruya,-22.7914,-65.2163,Argentina,AR,Salta,minor,4177,4177
Piedra del Águila,-40.0500,-70.0778,Argentina,AR,Neuquén,minor,3921,3921
San Agustín,-31.9833,-64.3833,Argentina,AR,Córdoba,minor,3911,3911
Guaminí,-37.0167,-62.4167,Argentina,AR,Buenos Aires,minor,3900,3900
San Agustín de Valle Fértil,-30.6336,-67.4683,Argentina,AR,San Juan,minor,3900,3900
Valcheta,-40.7000,-66.1500,Argentina,AR,Río Negro,minor,3867,3867
San Carlos,-25.9000,-65.9333,Argentina,AR,Salta,minor,3766,3766
Andacollo,-37.1667,-70.6667,Argentina,AR,Neuquén,minor,3669,3669
Guachipas,-25.5167,-65.5333,Argentina,AR,Salta,minor,3491,3491
Buta Ranquil,-37.0515,-69.8779,Argentina,AR,Neuquén,minor,3430,3430
Tafí del Valle,-26.8667,-65.6833,Argentina,AR,Tucumán,minor,3403,3403
Trancas,-26.2308,-65.2781,Argentina,AR,Tucumán,minor,3391,3391
